DATE,unemployment_rate
2007-04-01,7.8
2007-05-01,7.766666666666667
2007-06-01,7.733333333333333
2007-07-01,7.7
2007-08-01,7.5
2007-09-01,7.3
2007-10-01,7.1
2007-11-01,7.033333333333333
2007-12-01,6.966666666666667
2008-01-01,6.9
2008-02-01,6.933333333333334
2008-03-01,6.966666666666667
2008-04-01,7.0
2008-05-01,7.033333333333333
2008-06-01,7.066666666666666
2008-07-01,7.1
2008-08-01,7.2
2008-09-01,7.3
2008-10-01,7.4
2008-11-01,7.666666666666667
2008-12-01,7.933333333333333
2009-01-01,8.2
2009-02-01,8.433333333333334
2009-03-01,8.666666666666666
2009-04-01,8.9
2009-05-01,8.9
2009-06-01,8.9
2009-07-01,8.9
2009-08-01,8.966666666666667
2009-09-01,9.033333333333333
2009-10-01,9.1
2009-11-01,9.066666666666666
2009-12-01,9.033333333333333
2010-01-01,9.0
2010-02-01,8.966666666666667
2010-03-01,8.933333333333334
2010-04-01,8.9
2010-05-01,8.9
2010-06-01,8.9
2010-07-01,8.9
2010-08-01,8.866666666666667
2010-09-01,8.833333333333334
2010-10-01,8.8
2010-11-01,8.8
2010-12-01,8.8
2011-01-01,8.8
2011-02-01,8.766666666666667
2011-03-01,8.733333333333333
2011-04-01,8.7
2011-05-01,8.766666666666666
2011-06-01,8.833333333333334
2011-07-01,8.9
2011-08-01,8.933333333333334
2011-09-01,8.966666666666667
2011-10-01,9.0
2011-11-01,9.033333333333333
2011-12-01,9.066666666666666
2012-01-01,9.1
2012-02-01,9.2
2012-03-01,9.3
2012-04-01,9.4
2012-05-01,9.4
2012-06-01,9.4
2012-07-01,9.4
2012-08-01,9.533333333333333
2012-09-01,9.666666666666668
2012-10-01,9.8
2012-11-01,9.866666666666667
2012-12-01,9.933333333333334
2013-01-01,10.0
2013-02-01,10.033333333333333
2013-03-01,10.066666666666666
2013-04-01,10.1
2013-05-01,10.033333333333333
2013-06-01,9.966666666666667
2013-07-01,9.9
2013-08-01,9.866666666666667
2013-09-01,9.833333333333334
2013-10-01,9.8
2013-11-01,9.8
2013-12-01,9.8
2014-01-01,9.8
2014-02-01,9.8
2014-03-01,9.8
2014-04-01,9.8
2014-05-01,9.833333333333334
2014-06-01,9.866666666666667
2014-07-01,9.9
2014-08-01,9.966666666666667
2014-09-01,10.033333333333333
2014-10-01,10.1
2014-11-01,10.066666666666666
2014-12-01,10.033333333333333
2015-01-01,10.0
2015-02-01,10.066666666666666
2015-03-01,10.133333333333333
2015-04-01,10.2
2015-05-01,10.133333333333333
2015-06-01,10.066666666666666
2015-07-01,10.0
2015-08-01,9.966666666666667
2015-09-01,9.933333333333334
2015-10-01,9.9
2015-11-01,9.9
2015-12-01,9.9
2016-01-01,9.9
2016-02-01,9.833333333333334
2016-03-01,9.766666666666666
2016-04-01,9.7
2016-05-01,9.666666666666666
2016-06-01,9.633333333333333
2016-07-01,9.6
2016-08-01,9.666666666666666
2016-09-01,9.733333333333334
2016-10-01,9.8
2016-11-01,9.633333333333335
2016-12-01,9.466666666666667
2017-01-01,9.3
2017-02-01,9.266666666666667
2017-03-01,9.233333333333333
2017-04-01,9.2
2017-05-01,9.2
2017-06-01,9.2
2017-07-01,9.2
2017-08-01,9.033333333333333
2017-09-01,8.866666666666665
2017-10-01,8.7
2017-11-01,8.799999999999999
2017-12-01,8.9
2018-01-01,9.0
2018-02-01,8.933333333333334
2018-03-01,8.866666666666667
2018-04-01,8.8
2018-05-01,8.733333333333334
2018-06-01,8.666666666666666
2018-07-01,8.6
2018-08-01,8.566666666666666
2018-09-01,8.533333333333333
2018-10-01,8.5
2018-11-01,8.5
2018-12-01,8.5
2019-01-01,8.5
2019-02-01,8.4
2019-03-01,8.299999999999999
2019-04-01,8.2
2019-05-01,8.166666666666666
2019-06-01,8.133333333333333
2019-07-01,8.1
2019-08-01,8.033333333333333
2019-09-01,7.966666666666667
2019-10-01,7.9
2019-11-01,7.833333333333334
2019-12-01,7.766666666666667
2020-01-01,7.7
2020-02-01,7.5
2020-03-01,7.3
2020-04-01,7.1
2020-05-01,7.633333333333333
2020-06-01,8.166666666666666
2020-07-01,8.7
2020-08-01,8.433333333333334
2020-09-01,8.166666666666666
2020-10-01,7.9
2020-11-01,7.933333333333334
2020-12-01,7.966666666666667
2021-01-01,8.0
2021-02-01,7.9
2021-03-01,7.8
2021-04-01,7.7
2021-05-01,7.7
2021-06-01,7.7
2021-07-01,7.7
2021-08-01,7.566666666666666
2021-09-01,7.433333333333334
2021-10-01,7.3
2021-11-01,7.266666666666667
2021-12-01,7.233333333333333
2022-01-01,7.2
2022-02-01,7.2
2022-03-01,7.2
2022-04-01,7.2
2022-05-01,7.133333333333334
2022-06-01,7.066666666666666
2022-07-01,7.0
2022-08-01,7.0
2022-09-01,7.0
2022-10-01,7.0
2022-11-01,6.966666666666667
2022-12-01,6.933333333333334
2023-01-01,6.9
2023-02-01,6.933333333333334
2023-03-01,6.966666666666667
2023-04-01,7.0
2023-05-01,7.066666666666666
2023-06-01,7.133333333333334
2023-07-01,7.2
