DATE,firms_creation
2016-05-01,47700.333333333336
2016-06-01,47700.333333333336
2016-07-01,41785.0
2016-08-01,41785.0
2016-09-01,41785.0
2016-10-01,45246.0
2016-11-01,45246.0
2016-12-01,45246.0
2017-01-01,52802.0
2017-02-01,52802.0
2017-03-01,52802.0
2017-04-01,46774.333333333336
2017-05-01,46774.333333333336
2017-06-01,46774.333333333336
2017-07-01,44712.0
2017-08-01,44712.0
2017-09-01,44712.0
2017-10-01,52800.666666666664
2017-11-01,52800.666666666664
2017-12-01,52800.666666666664
2018-01-01,61581.333333333336
2018-02-01,61581.333333333336
2018-03-01,61581.333333333336
2018-04-01,56519.333333333336
2018-05-01,56519.333333333336
2018-06-01,56519.333333333336
2018-07-01,52385.333333333336
2018-08-01,52385.333333333336
2018-09-01,52385.333333333336
